1109,Ratho Station Recreation Ground,Playing Field,1.4853
1114,St Marks Park,Public Parks & Gardens,4.8350
1117,Craigmillar Castle Park Cemetery,Cemetery,6.3421
1118,"Grassmarket, The",Civic space,0.5373
1122,Forthquarter Park,Public Parks & Gardens,6.9117
1123,Ellen's Glen House,Residential,0.6397
1129,Craigmillar Castle Park inc Hawkhill,Semi-natural Park,4.5651
1136,Maybury Road - Craigmount Brae,Green Corridors,2.3983
1137,Bughtlin,Green Corridors,1.0753
1138,Burnside - Craigs Loan,Green Corridors,1.0159
1141,Canongate Kirkyard,Churchyards,0.6542
1142,Mortonhall Golf Course,Other semi-natural greenspace,1.2662
1143,Mortonhall Golf Course,Other semi-natural greenspace,5.5560
1145,Mortonhall Golf Course,Other semi-natural greenspace,1.0621
1150,Water of Leith,Green Corridors,0.7647
1151,Winton Loan,Other semi-natural greenspace,0.6522
1153,Succoth Park,Residential,1.1307
1202,Redhall House,Residential,0.6942
1219,Woodland Road,Other semi-natural greenspace,0.8666
1228,Water of Leith,Green Corridors,1.7846
1262,Meggetgate,Other semi-natural greenspace,1.4598
1267,St Mary's Cathedral Churchyard,Churchyards,0.8821
1274,Restalrig Gardens,Residential,0.7245
1277,Colinton Parish Church,Churchyards,0.5794
1282,The Murrays,Other semi-natural greenspace,5.1008
1308,Charlotte Square,Private Pleasure Gardens,1.0731
1331,"Kirkliston North, East Green Corridor",Green Corridors,1.6273
1335,"Kirkliston North, Green Corridor",Green Corridors,0.6037
1336,Kirklands Park,Public Parks & Gardens,2.1062
1337,"Kirkliston North, West Green Corridor",Green Corridors,1.2932
1340,Almondhill Park,Public Parks & Gardens,2.1919
1342,Canalside Park - Ratho,Residential,1.0390
1343,North Platt Crescent,Residential,0.6471
1348,Burnbrae Place/ Maybury Road,Residential,0.8003
1355,Lighthouse Park,Public Parks & Gardens,1.1173
1357,Wallace Gardens,Residential,0.5203
1360,Larkfield Gardens,Residential,0.5703
1366,Pollofields,Public Parks & Gardens,1.2917
1371,Greenwood Close Woodland Strip,Residential,0.5869
1373,Maplewood Park/ Oakwood Court,Residential,1.4597
1391,"Alsion Park, Kirkliston",Public Parks & Gardens,2.3074
